CPUSystem;1;R2;1;0x7777;0x7777
CPUSystem;1;R2;1;0x0000;0x0000
CPUSystem;2;PC;1;0x0011;0x0011
CPUSystem;3;R1;1;0x0000;0x0000
CPUSystem;3;R2;1;0x0001;0x0001
CPUSystem;3;Z;1;0x0001;0x0001
CPUSystem;4;OutA;1;0x0004;0x0004
CPUSystem;4;ALUOut;1;0x0008;0x0008
CPUSystem;4;R2;1;0x0004;0x0004
CPUSystem;5;PC;0;0x00ff;0x364f
CPUSystem;6;R4;1;0xf210;0xf210
CPUSystem;6;AR;0;0x0000;0xf210
CPUSystem;7;R1;1;0x0001;0x0001
CPUSystem;1;R2;1;0x7777;0x7777
CPUSystem;1;R2;1;0x0000;0x0000
CPUSystem;2;PC;1;0x0011;0x0011
CPUSystem;3;R1;1;0x0000;0x0000
CPUSystem;3;R2;1;0x0001;0x0001
CPUSystem;3;Z;1;0x0001;0x0001
CPUSystem;4;OutA;1;0x0004;0x0004
CPUSystem;4;ALUOut;1;0x0008;0x0008
CPUSystem;4;R2;1;0x0004;0x0004
CPUSystem;5;PC;0;0x00ff;0x364f
CPUSystem;6;R4;1;0xf210;0xf210
CPUSystem;6;AR;0;0x0000;0xf210
CPUSystem;7;R1;1;0x0001;0x0001
CPUSystem;1;R2;1;0x7777;0x7777
CPUSystem;1;R2;1;0x0000;0x0000
CPUSystem;2;PC;1;0x0011;0x0011
CPUSystem;3;R1;1;0x0000;0x0000
CPUSystem;3;R2;1;0x0001;0x0001
CPUSystem;3;Z;1;0x0001;0x0001
CPUSystem;4;OutA;1;0x0004;0x0004
CPUSystem;4;ALUOut;1;0x0008;0x0008
CPUSystem;4;R2;1;0x0004;0x0004
CPUSystem;5;PC;0;0x00ff;0x364f
CPUSystem;6;R4;1;0xf210;0xf210
CPUSystem;6;AR;0;0x0000;0xf210
CPUSystem;7;R1;1;0x0001;0x0001
CPUSystem;1;R2;1;0x7777;0x7777
CPUSystem;1;R2;1;0x0000;0x0000
CPUSystem;2;PC;1;0x0011;0x0011
CPUSystem;3;R1;1;0x0000;0x0000
CPUSystem;3;R2;1;0x0001;0x0001
CPUSystem;3;Z;1;0x0001;0x0001
CPUSystem;4;OutA;1;0x0004;0x0004
CPUSystem;4;ALUOut;1;0x0008;0x0008
CPUSystem;4;R2;1;0x0004;0x0004
CPUSystem;5;PC;0;0x3550;0x364f
CPUSystem;6;R4;1;0xf210;0xf210
CPUSystem;6;AR;0;0x0000;0xf210
CPUSystem;7;R1;1;0x0001;0x0001
CPUSystem;1;R2;1;0x7777;0x7777
CPUSystem;1;R2;1;0x0000;0x0000
CPUSystem;2;PC;1;0x0011;0x0011
CPUSystem;3;R1;1;0x0000;0x0000
CPUSystem;3;R2;1;0x0001;0x0001
CPUSystem;3;Z;1;0x0001;0x0001
CPUSystem;4;OutA;1;0x0004;0x0004
CPUSystem;4;ALUOut;1;0x0008;0x0008
CPUSystem;4;R2;1;0x0004;0x0004
CPUSystem;5;PC;0;0x0000;0x364f
CPUSystem;6;R4;1;0xf210;0xf210
CPUSystem;6;AR;0;0x0000;0xf210
CPUSystem;7;R1;1;0x0001;0x0001
CPUSystem;1;R2;1;0x7777;0x7777
CPUSystem;1;R2;1;0x0000;0x0000
CPUSystem;2;PC;1;0x0011;0x0011
CPUSystem;3;R1;1;0x0000;0x0000
CPUSystem;3;R2;1;0x0001;0x0001
CPUSystem;3;Z;1;0x0001;0x0001
CPUSystem;4;OutA;1;0x0004;0x0004
CPUSystem;4;ALUOut;1;0x0008;0x0008
CPUSystem;4;R2;1;0x0004;0x0004
CPUSystem;5;PC;0;0x0000;0x364f
CPUSystem;6;R4;1;0xf210;0xf210
CPUSystem;6;AR;0;0x0000;0xf210
CPUSystem;7;R1;1;0x0001;0x0001
